Sentence,Sentiment
"A tecnologia GeoSolutions aproveitará as soluções GPS da Benefon, fornecendo tecnologia de pesquisa baseada em localização, uma plataforma de comunidades, conteúdo multimídia relevante de localização e um novo e poderoso modelo comercial.",positive
"$ Esi em baixos, queda de US $ 1,50 a US $ 2,50 BK uma possibilidade real",negative
"No último trimestre de 2010, as vendas líquidas da Componente dobraram para 131m a partir de 76 milhões de euros para o mesmo período do ano anterior, enquanto passavam para um lucro pré-imposto zero com uma perda antes de impostos de euros.",positive
"De acordo com a Câmara de Comércio Finlandesa-Rússia, todas as principais empresas de construção da Finlândia estão operando na Rússia.",neutral
"A empresa de compra sueca vendeu sua participação restante de 22,4 %, quase dezoito meses após o público da empresa na Finlândia.",neutral
$ Spy não ficaria surpreso ao ver um verde fechar,positive
O acordo de BG de US $ 70 bilhões da Shell atende ao ceticismo dos acionistas,negative
SSH Communications Security Corp Exchange Release 14 de outubro de 2008 às 14:45 A empresa atualiza suas perspectivas de ano inteiro e estima que seus resultados permaneçam em perda durante o ano inteiro.,negative
As vendas líquidas de Kone aumentaram cerca de 14 % ano a ano nos primeiros nove meses de 2008.,positive
A loja de departamentos de Stockmann terá um espaço total de mais de 8.000 metros quadrados e o investimento de Stockmann no projeto terá um preço de cerca de 12 milhões de euros.,neutral
A receita de circulação aumentou 5 % na Finlândia e 4 % na Suécia em 2008.,positive
$ SAP Q1 decepciona quando #Software License baixa.Problema real?#Cloud Growth Trails $ msft $ orcl $ goog $ crm $ adbe https://t.co/jndphllzq5,negative
"A subdivisão fez receitas de vendas no ano passado, de 480,7 milhões de euros, 414,9 milhões de euros em 2008 e os lucros operacionais de 44,5 milhões de euros euros 7,4 milhões.",positive
A Viking Line cancelou alguns serviços.,neutral
AHLSTOM CORPORATION ANUMENTO DA Bolsa de Valores 7.2.2007 às 10h30 Um total de 56.955 novas ações da Ahlstrom Corporation foram subscritas com direitos de opção nos programas de opções de ações da Companhia I 2001 e II 2001.,neutral
$ Fb ficou verde no dia,positive
$ Msft A receita do servidor SQL cresceu duplo dígito com a receita premium do SQL Server crescendo mais de 30% http://stks.co/ir2f,positive
"De acordo com Matti Karppinen, CEO da L+ñnnen Tehtaat, a empresa pretende entregar produtos de peixe a seus clientes um dia antes do que atualmente.",neutral
A participação da empresa é citada no Nasdaq OMX Helsinque Rautaruukki Oyj: Rtrks.,neutral
O Elcoteq SE está listado no NASDAQ OMX Helsinki Ltd ..,neutral
Dois desses contratos são para vibrocompatores de ânodo de toca -toca -discos que serão entregues ao Gansu Hualu Aluminium Co Ltd e outro fantasente sem nome.,neutral
"Aviva, Friends Life Top previsões antes de 5,6 bilhões de libras fusão",positive
"Em vez de ser baseado em um refrigerante, como é sempre, a bebida energética de Teho é feita com água doce.",neutral
A empresa planeja aumentar a equipe especializada da unidade para várias dezenas - dependendo da situação do mercado durante 2010.,neutral
A empresa fechou no ano passado com um faturamento de cerca de quatro milhões de euros.,neutral
O CEO da Shire aumenta a unidade para fazer a Baxalta Board falar,positive
Costco: um dividendo de varejo principal tocar https://t.co/fa5cnH2t0t $ custo,positive
O edifício eco-eficiência de cinco andares terá uma área bruta de cerca de 15.000 m².Também incluirá apartamentos.,neutral
"A primeira parte da série Cinema termina com um perfil do inventor finlandês Olavi Linden, cuja jornada artística e trabalho pessoal em Fiskars levou a dezenas de prêmios de design.",neutral
São todos bem-vindos .,neutral
"A AB Lindex da Stockmann e da Sector Sector, firmou um acordo em 30 de setembro de 2007, pelo qual Stockmann, ou uma subsidiária de propriedade integral, fará uma oferta pública de licitação para todas as ações emitidas pela Lindex.",positive
"Huhtamaki Oyj Stock Exchange, 16.9.2008 AS 13.32 HUHTAMAKI O Dia dos Mercados de Capitais de Huhtamaki para investidores e analistas institucionais é realizado em Espoo, 16 de setembro de 2008, a partir das 13h30, horário finlandês.",neutral
`` Temos o prazer de receber o Tapeks Noma no grupo Cramo.,positive
"- O lucro antes dos impostos foi de 105,9 euros 82,7 milhões.",neutral
Royal Dutch Shell para comprar o BG Group por quase US $ 70 bilhões,positive
"A FinancialWire TM não é um serviço de comunicado à imprensa e não recebe compensação por suas notícias, opiniões ou distribuições.",neutral
"ASA Abloy Kaupthing Bank deu uma recomendação ""neutra"" e uma meta de preço das ações de 174 coroas US $ 24,7 - 19 euros no fabricante sueco de trava Assa Abloy AB.",neutral
"O item incluía os custos de reestruturação de 1,6 m de euros, enquanto um ano antes eles eram de 13,1 m.O EPS diluído ficou em EUR0 .3 versus uma perda por ação de 0,1 euros.",positive
"Em 2005, o banco registrou um lucro líquido de LT 8,2 MN.",neutral
$ AAPL Tardefloff como de costume será brutal.Prepare -se para perder uma tonelada de dinheiro.,negative
"$ Tsla lembrando praticamente todo modelo x @cnnbrk ficou curto que, mesmo no trabalho, você pula em dinheiro",negative
"A Dolce & Gabbana pediu à União Europeia que declarasse inválida de marca registrada de padrão floral da Marimekko Corporation, em uma disputa contínua entre as duas empresas.",negative
Hotéis Intercontinentais no primeiro trimestre Global Room Revenue Lags Estimativas,negative
"De acordo com a companhia de seguros de pensão finlandesa Varma, a Varma recebeu mais de dois terços da receita da cobertura de pensão relacionada aos ganhos que estava sob licitação competitiva na Finlândia.",positive
"Uma parte, US $ 12,5 milhões, será registrada como parte de seus ganhos em uma disputa de patente anterior com a fabricante de telefones finlandesa Nokia Oyj.",positive
"L&G ainda pagando preço pelo corte de dividendos durante a crise, diz o chefe",negative
"O volume de investimentos nas duas fases do projeto é estimado em US $ 300 milhões (215,03 milhões de euros).",neutral
"A Rússia foi responsável por 9 % da receita da Divisão da Revista Lagardere, ou 114,40 MN de euros (US $ 148,11 mN) em 2009, os EUA - por 18 %.",neutral
"A empresa também estima os investimentos já realizados para levar a um aumento em suas vendas líquidas para 2010 a partir de 2009, quando atingiram 141,7 milhões de euros.",positive
"O lucro do período contábil foi de 0,3 milhão de euros.",neutral
"As seis cervejarias registraram um crescimento de 5,2 % nas vendas domésticas de cerveja no ano passado, para 270,21 milhões de litros, de 256,88 milhões de litros vendidos em 2005.",positive
"Em agosto a outubro de 2010, o resultado da empresa antes dos impostos totalizou 9,6 mN de euros, acima de 0,5 milhões de euros no período correspondente em 2009.",positive
"Os recursos de vendas e projetos da SySteemitiimi também serão fortalecidos, disse o diretor Paul Skogberg.",positive
O preço das ações da Tesco salta conforme as estimativas de vendas do terceiro trimestre,positive
A impressão fina está aqui.,neutral
O preço dos troncos melhorou claramente em relação a 2009 e também o preço do Pulpwood aumentou.,positive
"Assim, o Sysopen Digia, de acordo com o capítulo 14, a Seção 21 da Lei das Empresas Finlandesas 29.9.1978 - 734, obteve título a todas as ações da Sentera que devem ser resgatadas.",neutral
"Os ganhos diluídos por ação (EPS) caíram para 0,63 de euros de 1,71 euros.",neutral
"Às 15:37Hora do leste, um bloco de 2.400 contratos mudou de mãos a um preço de oferta de US $ 0,45.",neutral
"Algumas das entregas tecnológicas mais recentes incluem a tecnologia de refinaria ao alumínio Anrak, uma planta de pelletismo de minério de ferro para tata de aço e plantas de sinterização de minério de ferro para a aço Bhushan.",neutral
$ VIPS padrão semelhante como o início de maio.Você vendeu?O mesmo agora ... aumentará muito mais após essa queda.,positive
A empresa gerou vendas de 187 MLN EUR em 2005.,neutral
"A STORA ENSO também teve reuniões com as autoridades trabalhistas, centros de emprego e desenvolvimento econômico e representantes do governo para encontrar soluções.",neutral
AstraZeneca lucra à medida que as vendas de robustos desaparecem,negative
"RT @Andrewnyquist Chartology: Yahoo: http://stks.co/1itr $ yhoo Crazinha de aparência louca, mas quase a linha de resistência à breakout ...",positive
A maioria dos estoques de alta no Twitter durante este mergulho.$ Yhoo $ gdx $ googl $ stz $ ouro $ ew $ vz $ CELG $ sbux $ scty mais: https://t.co/iuzjelfwt3,positive
As vendas líquidas da Finlândia GeoSentric diminuíram para 939.000 euros em janeiro a março de 2009.,negative
"Cohen & Steers, Inc .: 5 534 626 ações representando 4,985 % do capital social e direitos de voto.",neutral
Mais funcionários foram recrutados no Japão para complementar ainda mais sua rede de quase 50 locais de serviço em mais de 20 países em todo o mundo.,positive
"As empresas de papel estavam em territórios negativos, com o STORA ENSE R derramando 1,62 PCT para 12,73 EUR, UPM-Kymmenne abaixo de 0,80 PCT a 18,64 EUR e M-Real B 0,18 PCT mais baixo em 5,57 EUR.",neutral
A administração centralizada de Kauko-Telko será dissolvida e partes apropriadas serão transferidas para atividades operacionais e administração de grupos até o final do ano.,neutral
"O lucro operacional para o trimestre de abril a 2006 foi de 182,2 m nas vendas de euros 3,62 bilhões.",neutral
A Atria escolheu o deleite para atrair consumidores na faixa etária de 25 a 45 anos para sua nova gama de refeições para microondas.,neutral
"O fornecedor finlandês de soluções de TI afetação oyj hel: AFE1V disse hoje que está caindo para um prejuízo líquido de 115.000 euros no segundo trimestre de 2010, com um lucro de 845.000 euros no período correspondente do ano anterior.",neutral
As sanções dos EUA colocam planos de aliança Gazprom-Shell em risco,negative
"O lucro para o período foi de 10,9 milhões de euros, abaixo dos 14,3 milhões de euros em 2009.",neutral
"O lucro para o período foi de 5,9 milhões de euros, contra 1,3 mn de euros.",positive
"O lucro operacional caiu para 20,3 milhões de euros de 74,2 milhões de euros no segundo trimestre de 2008.",neutral
"No entanto, as vendas retornaram ao crescimento em abril-junho de 2010, disse o CEO Pekka Eloholma.",positive
"O lucro operacional totalizou 18,6 milhões de euros ou 8,3 % das vendas líquidas.",neutral
"As mudanças na situação do mercado e na concorrência de preços mais resistentes reduziram substancialmente a demanda por embalagens de pão fabricadas na fábrica de Kauhava, de acordo com a empresa.",negative
"Em conexão com o acordo, Digia empregará 19 pessoas da Nokia em Oslo e no Vale do Silício nos EUA.",neutral
"A unidade brasileira do provedor de soluções de segurança finlandesa F-Secure assinou 1.500 novos clientes no ano passado, o revendedor de notícias on-line Web citou o diretor comercial da Divisão, Vladimir Brand+Úo, disse.",positive
"O valor justo das propriedades de investimento da empresa caiu para 2,768 bilhões de euros no final de 2009, ante 2,916 bilhões de euros no ano anterior.",neutral
"Os revendedores disseram que a parte foi amplamente atingida pela decepção do investidor com uma margem de refino de apenas 9,48 USD por barril para o trimestre e o desempenho de sua unidade de remessa, que viu o EBIT cair para 5 mln de 20 mln de euros por ano em meio a uma queda em volumese taxas de navios -tanque.",negative
"""É uma prova da qualidade de nossa solução LTE e nosso compromisso com o mercado japonês"", acrescentou.",neutral
O objetivo das empresas é finalizar as negociações e assinar os contratos no início de outubro de 2008.,neutral
"A Metso Foundries Jyvaskyla Oy interromperá a produção nesta linha até 30 de setembro de 2008, informou a empresa.",neutral
"Um total de seis dos analistas entrevistados classificados M -Real - dois deram `` comprar '' - `` acumular '', três deram `` hold '' e apenas um deu `` vender ''.",neutral
"Em setembro de 2010, o Grupo Finlandês concordou em comprar a empresa dinamarquesa Rose Poultry A-S por até 23 m euros em uma combinação de dinheiro e ações.",positive
$ Yang duplo inferior 5.2,positive
"O preço das ações da Tesco, enquanto a mercearia enfrenta o resultado da investigação SFO",negative
$ AAPL News está se tornando muito otimista de novo http://stks.co/tmu,positive
"A GS Engineering instalará as válvulas em uma fábrica de GNL de gás natural liquefeito que construiu para a Extração de LNG e as usinas de gás dos Emirados Árabes Unidos Gasco em Ruwais, Emirados Árabes Unidos.",neutral
As porcentagens de ações e direitos de voto foram calculadas em proporção ao número total de ações registradas no registro comercial e o número total de direitos de voto relacionados a eles.,neutral
"M-Real disse que não há motivos para os rumores, que estão circulando no mercado há alguns meses.'",neutral
"Lember disse que o assunto também era tópico na Estônia, onde um projeto de lei foi redigido no ministério de assuntos sociais que abandonaria as pensões da velha idade em condições favoráveis.",neutral
-A Moody disse que deu ratings de dívida de curto prazo a longo prazo de longo prazo e p-1 para o credor finlandês Aktia Bank 1 bilhão de US $ 1 bilhão de bilhões de euros do Banco de médio prazo do EURO NOTA DE EMTN de 25 de março de 2011.,neutral
$ Tesla recall,negative
"O fornecimento de liquidez foi interrompido em 11 de maio de 2007, quando as ações do ASPOCOMP Group Oyj foram negociadas abaixo de 0,50 centavos (a liberação da Bolsa de Valores da Aspocomp 11.5.2007).",neutral
"Hargreaves Lansdown Bola mercados fracos para ver os ativos aumentarem 2,6 %",positive
"Às 12h59, o Índice OMX Helsinque 25 foi de 0,32 PCT menor em 2.694,81.",negative
"A decisão significa demissões temporárias de duração fixa nas unidades Nastola e Jyvaskyla da Companhia, no sul e no centro da Finlândia, respectivamente.",neutral
O valor das ordens é superior a 10 milhões de euros.,neutral
Laakso será responsável pelas funções de HR da HKSCAN e por seu desenvolvimento em todas as áreas de Smarket.,neutral
"A Fiskars também está envolvida no fornecimento global de soluções e serviços de equipamentos marítimos e energéticos por meio de sua empresa associada, a Wartsila Corporation.",neutral
A Aberdeen Asset Management ganha posição na China,positive
A Dominating Rail Company da Finlândia VR planeja definir os passageiros infectados para uma viagem de longa distância em um carro separado.,neutral
"Em novembro, o governo finlandês diminuiu sua propriedade na empresa, mais para 31,1 %, ante 38 %.",neutral
"A Finlandês Exel Composites, uma empresa de tecnologia que projeta, fabrica e mercados perfis e tubos compostos para várias aplicações industriais, relata que suas vendas líquidas diminuíram 0,6 % no segundo trimestre de 2010 para 19,2 mn de euros de 19,3 mN no período correspondente em2009.",neutral
"Das joint ventures de Bavelloni e NST, ferramentas Bavelloni, completa semiprodutos que são produzidos na Itália em ferramentas de alta qualidade que serão vendidas sob a marca Diapol.",neutral
A ferramenta é um design de patente pendente que permite aos consumidores exibir todo o projeto em uma placa removível usando vários carimbos claros de qualquer tipo.,neutral
$ Googl é um curto abaixo de 740 no BB superior e está em excesso,negative
"Luzes apagadas antes do toque de recolher, enrole com o mais recente best -seller e trate seus olhos para a luz de leitura perfeita de Luceplan.",neutral
